username,userid,profile_location,created_at,text,retweet_count,source,coordinates
bearylicous,30143104,"Chicago, IL",2023-01-21 07:30:48,@DereckHarmon It’s the worst 😩 I went to PTown for Bearweek on my very first vacation in over a decade and it was m… https://t.co/b2E619xULH,0,Twitter for iPhone,
Devin | TheVVitch1202,878702682302754817,"Chicago, IL",2023-01-21 07:15:57,@fvkillers Will we be getting US dates someday in the future? I’d kill for a Chicago show — or even a Seattle one s… https://t.co/UqgxtTZjv3,0,Twitter for iPhone,
katie,3161438316,chicago,2023-01-21 05:36:39,"@theyarenotaboy2 Return to me, moonstruck, sleepless in Seattle",0,Twitter for iPhone,
Jeremy Rosen,19953410,"Highland Park, IL",2023-01-21 05:18:54,@CajunSunsets @NotionsOfJacob What?  It was in Seattle!,0,Twitter for iPhone,
Jen Doe,618476846,Chicago,2023-01-21 03:41:09,✨ Quantum Physics 😵‍💫🙂🙃✨ #tattoo #oldtowntatu #chicago #illinois #seattle #texas #dallas #denver #newyork… https://t.co/XOGKCvBshu,1,Twitter for iPhone,
jo,1394105209564143616,"Chicago, IL",2023-01-21 03:35:29,"My best friend’s wedding, sleepless in Seattle, moonstruck. https://t.co/ObNZnFCXR6",0,Twitter for iPhone,
Sherron Shabazz,18555946,Chicago,2023-01-21 01:18:43,"@dseals maybe if seattle comes to town lol who knows, man. sky free agency stresses me out every year. it could all… https://t.co/s4e8RHlzEo",0,Twitter Web App,
Belly Tripucka,1270437676529995781,Chicago,2023-01-21 00:29:29,Legitimately funny to live in Seattle and think this will “piece the city back together” lmao https://t.co/GVOFpklkpr,0,Twitter for iPhone,
Jeffery 🇧🇿,1228729012320645122,"Chicago, IL",2023-01-20 23:36:44,@CreativeCoco24 @faysmuazu @TheLastofUsNews Thank you! Yeah I think this way works best because unlike the game you… https://t.co/kmfSvamLP1,0,Twitter for iPhone,
Smoked Turkey Cheeks,1455449520,"Chicago, IL",2023-01-20 23:06:32,The Seattle Supersonics have been to the playoffs more recently than the Sacramento Kings they didn't expect shit o… https://t.co/ZvFSRgzaIv,1,Twitter for Android,
Lenny Linas Leseckas,1599735947213545472,"Palos Hills, IL",2023-01-20 22:52:52,@thecheckdown @CBSSports @will_levis @SECNetwork Do the Bears trade down to 4 with Colts or 5 and 20 with Seattle?… https://t.co/7mZCSQTMwb,0,Twitter for iPad,
Seeb.,1004614763404513280,"Chicago, IL",2023-01-20 22:48:06,seattle surge is DONE oh my,0,Twitter for iPhone,
Northwestern MA in Writing/MFA in Prose & Poetry,284197747,"Chicago/Evanston, IL",2023-01-20 22:45:44,"Join us at @awpwriter in Seattle on 3/9 for a reading at Locust Cider, 500 Terry Ave, 5 PM - free &amp; refreshments in… https://t.co/OoXIz80WFz",4,Twitter Web App,
Fee the Buddhist Prodigy,1436469880589586440,"Chicago, IL",2023-01-20 22:44:52,@hoodsies I’m going on Monday night only. Then gotta bop back to Seattle for work.,0,Twitter for iPhone,
Sherron Shabazz,18555946,Chicago,2023-01-20 21:56:09,"@accxrdingtochar What I'm hoping. I feel like MN and Seattle are the only teams that can pull off pairing them up,… https://t.co/ScSKBpJyHU",0,Twitter for iPhone,
